date,year,month,day,extent,climatology_1981_2010,anomaly
1980-06-01,1980,6,1,10.681,11.978,-1.297
1980-06-03,1980,6,3,10.742,12.168,-1.426
1980-06-05,1980,6,5,11.111,12.383,-1.272
1980-06-07,1980,6,7,11.314,12.581,-1.267
1980-06-09,1980,6,9,11.665,12.792,-1.127
1980-06-11,1980,6,11,11.961,12.987,-1.026
1980-06-13,1980,6,13,12.276,13.172,-0.896
1980-06-15,1980,6,15,12.644,13.384,-0.74
1980-06-17,1980,6,17,12.838,13.597,-0.759
1980-06-19,1980,6,19,13.119,13.796,-0.677
1980-06-21,1980,6,21,13.311,13.991,-0.68
1980-06-23,1980,6,23,13.671,14.186,-0.515
1980-06-25,1980,6,25,14.046,14.37,-0.324
1980-06-27,1980,6,27,13.912,14.524,-0.612
1980-06-29,1980,6,29,14.063,14.709,-0.646
1980-07-01,1980,7,1,14.199,14.896,-0.697
1980-07-03,1980,7,3,14.417,15.039,-0.622
1980-07-05,1980,7,5,14.686,15.187,-0.501
1980-07-07,1980,7,7,14.935,15.329,-0.394
1980-07-09,1980,7,9,15.066,15.482,-0.416
1980-07-11,1980,7,11,15.226,15.652,-0.426
1980-07-13,1980,7,13,15.429,15.839,-0.41
1980-07-15,1980,7,15,15.539,15.971,-0.432
1980-07-17,1980,7,17,15.719,16.084,-0.365
1980-07-19,1980,7,19,15.846,16.257,-0.411
1980-07-21,1980,7,21,15.967,16.437,-0.47
1980-07-23,1980,7,23,16.158,16.591,-0.433
1980-07-25,1980,7,25,16.289,16.69,-0.401
1980-07-27,1980,7,27,16.468,16.801,-0.333
1980-07-29,1980,7,29,16.505,16.929,-0.424
1980-07-31,1980,7,31,16.582,17.028,-0.446
1980-08-02,1980,8,2,16.672,17.135,-0.463
1980-08-04,1980,8,4,17.078,17.236,-0.158
1980-08-06,1980,8,6,17.282,17.35,-0.068
1980-08-08,1980,8,8,17.297,17.481,-0.184
1980-08-10,1980,8,10,17.572,17.547,0.025
1980-08-12,1980,8,12,17.768,17.642,0.126
1980-08-14,1980,8,14,17.932,17.738,0.194
1980-08-16,1980,8,16,17.88,17.827,0.053
1980-08-18,1980,8,18,17.944,17.867,0.077
1980-08-20,1980,8,20,18.14,17.924,0.216
1980-08-22,1980,8,22,18.143,17.983,0.16
1980-08-24,1980,8,24,18.27,18.053,0.217
1980-08-26,1980,8,26,18.338,18.145,0.193
1980-08-28,1980,8,28,18.341,18.195,0.146
1980-08-30,1980,8,30,18.427,18.241,0.186
1980-09-01,1980,9,1,18.612,18.288,0.324
1980-09-03,1980,9,3,18.604,18.333,0.271
1980-09-05,1980,9,5,18.619,18.373,0.246
1980-09-07,1980,9,7,18.653,18.416,0.237
1980-09-09,1980,9,9,18.586,18.47,0.116
1980-09-11,1980,9,11,18.736,18.502,0.234
1980-09-13,1980,9,13,18.784,18.522,0.262
1980-09-15,1980,9,15,18.842,18.533,0.309
1980-09-17,1980,9,17,18.83,18.565,0.265
1980-09-19,1980,9,19,18.977,18.572,0.405
1980-09-21,1980,9,21,19.026,18.576,0.45
1980-09-23,1980,9,23,19.092,18.57,0.522
1980-09-25,1980,9,25,19.02,18.566,0.454
1980-09-27,1980,9,27,18.917,18.541,0.376
1980-09-29,1980,9,29,18.961,18.525,0.436
1980-10-01,1980,10,1,18.877,18.508,0.369
1980-10-03,1980,10,3,18.883,18.476,0.407
1980-10-05,1980,10,5,18.834,18.44,0.394
1980-10-07,1980,10,7,18.725,18.394,0.331
1980-10-09,1980,10,9,18.786,18.329,0.457
1980-10-11,1980,10,11,18.793,18.287,0.506
1980-10-13,1980,10,13,18.794,18.235,0.559
1980-10-15,1980,10,15,18.913,18.193,0.72
1980-10-17,1980,10,17,18.66,18.116,0.544
1980-10-19,1980,10,19,18.536,18.012,0.524
1980-10-21,1980,10,21,18.469,17.921,0.548
1980-10-23,1980,10,23,18.367,17.833,0.534
1980-10-25,1980,10,25,18.312,17.736,0.576
1980-10-27,1980,10,27,18.209,17.633,0.576
1980-10-29,1980,10,29,18.064,17.509,0.555
1980-10-31,1980,10,31,17.864,17.367,0.497
1980-11-02,1980,11,2,17.725,17.229,0.496
1980-11-04,1980,11,4,17.504,17.081,0.423
1980-11-06,1980,11,6,17.321,16.934,0.387
1980-11-08,1980,11,8,17.235,16.762,0.473
1980-11-10,1980,11,10,17.077,16.562,0.515
1980-11-12,1980,11,12,16.9,16.378,0.522
1980-11-14,1980,11,14,16.633,16.175,0.458
1980-11-16,1980,11,16,16.394,15.925,0.469
1980-11-18,1980,11,18,16.133,15.665,0.468
1980-11-20,1980,11,20,15.758,15.368,0.39
1980-11-22,1980,11,22,15.378,15.069,0.309
1980-11-24,1980,11,24,15.015,14.74,0.275
1980-11-26,1980,11,26,14.714,14.417,0.297
1980-11-28,1980,11,28,14.334,14.055,0.279
1980-11-30,1980,11,30,13.876,13.685,0.191
1980-12-02,1980,12,2,13.549,13.294,0.255
1980-12-04,1980,12,4,13.156,12.904,0.252
1980-12-06,1980,12,6,12.601,12.495,0.106
1980-12-08,1980,12,8,12.097,12.068,0.029
1980-12-10,1980,12,10,11.659,11.659,0.0
1980-12-12,1980,12,12,11.17,11.222,-0.052
1980-12-14,1980,12,14,10.702,10.755,-0.053
1980-12-16,1980,12,16,10.212,10.247,-0.035
1980-12-18,1980,12,18,9.676,9.732,-0.056
1980-12-20,1980,12,20,9.342,9.255,0.087
1980-12-22,1980,12,22,8.65,8.835,-0.185
1980-12-24,1980,12,24,8.1,8.416,-0.316
1980-12-26,1980,12,26,7.612,8.018,-0.406
1980-12-28,1980,12,28,7.178,7.624,-0.446
1980-12-30,1980,12,30,6.634,7.222,-0.588
1981-01-01,1981,1,1,6.323,6.999,-0.676
1981-01-03,1981,1,3,5.791,6.621,-0.83
1981-01-05,1981,1,5,5.351,6.296,-0.945
1981-01-07,1981,1,7,5.191,5.999,-0.808
1981-01-09,1981,1,9,4.775,5.681,-0.906
1981-01-11,1981,1,11,4.588,5.423,-0.835
1981-01-13,1981,1,13,4.503,5.16,-0.657
1981-01-15,1981,1,15,4.286,4.926,-0.64
1981-01-17,1981,1,17,4.073,4.709,-0.636
1981-01-19,1981,1,19,3.971,4.521,-0.55
1981-01-21,1981,1,21,3.838,4.335,-0.497
1981-01-23,1981,1,23,3.745,4.154,-0.409
1981-01-25,1981,1,25,3.699,3.998,-0.299
1981-01-27,1981,1,27,3.536,3.861,-0.325
1981-01-29,1981,1,29,3.509,3.734,-0.225
1981-01-31,1981,1,31,3.411,3.605,-0.194
1981-02-02,1981,2,2,3.297,3.489,-0.192
1981-02-04,1981,2,4,3.214,3.377,-0.163
1981-02-06,1981,2,6,3.111,3.28,-0.169
1981-02-08,1981,2,8,2.935,3.181,-0.246
1981-02-10,1981,2,10,2.878,3.097,-0.219
1981-02-12,1981,2,12,2.821,3.025,-0.204
1981-02-14,1981,2,14,2.763,2.969,-0.206
1981-02-16,1981,2,16,2.707,2.918,-0.211
1981-02-18,1981,2,18,2.705,2.903,-0.198
1981-02-20,1981,2,20,2.694,2.876,-0.182
1981-02-22,1981,2,22,2.731,2.885,-0.154
1981-02-24,1981,2,24,2.742,2.889,-0.147
1981-02-26,1981,2,26,2.834,2.931,-0.097
1981-02-28,1981,2,28,2.797,2.994,-0.197
1981-03-02,1981,3,2,2.724,3.105,-0.381
1981-03-04,1981,3,4,2.759,3.211,-0.452
1981-03-06,1981,3,6,2.755,3.306,-0.551
1981-03-08,1981,3,8,2.862,3.433,-0.571
1981-03-10,1981,3,10,3.013,3.592,-0.579
1981-03-12,1981,3,12,3.075,3.735,-0.66
1981-03-14,1981,3,14,3.226,3.892,-0.666
1981-03-16,1981,3,16,3.338,4.035,-0.697
1981-03-18,1981,3,18,3.442,4.199,-0.757
1981-03-20,1981,3,20,3.514,4.362,-0.848
1981-03-22,1981,3,22,3.672,4.521,-0.849
1981-03-24,1981,3,24,3.893,4.701,-0.808
1981-03-26,1981,3,26,4.114,4.884,-0.77
1981-03-28,1981,3,28,4.195,5.047,-0.852
1981-03-30,1981,3,30,4.291,5.219,-0.928
1981-04-01,1981,4,1,4.505,5.405,-0.9
1981-04-03,1981,4,3,4.589,5.607,-1.018
1981-04-05,1981,4,5,4.787,5.806,-1.019
1981-04-07,1981,4,7,5.018,6.018,-1.0
1981-04-09,1981,4,9,5.136,6.218,-1.082
1981-04-11,1981,4,11,5.417,6.434,-1.017
1981-04-13,1981,4,13,5.565,6.656,-1.091
1981-04-15,1981,4,15,5.793,6.862,-1.069
1981-04-17,1981,4,17,5.988,7.089,-1.101
1981-04-19,1981,4,19,6.214,7.303,-1.089
1981-04-21,1981,4,21,6.393,7.516,-1.123
1981-04-23,1981,4,23,6.717,7.733,-1.016
1981-04-25,1981,4,25,6.903,7.947,-1.044
1981-04-27,1981,4,27,7.167,8.165,-0.998
1981-04-29,1981,4,29,7.385,8.387,-1.002
1981-05-01,1981,5,1,7.549,8.604,-1.055
1981-05-03,1981,5,3,7.75,8.825,-1.075
1981-05-05,1981,5,5,8.029,9.053,-1.024
1981-05-07,1981,5,7,8.269,9.28,-1.011
1981-05-09,1981,5,9,8.439,9.487,-1.048
1981-05-11,1981,5,11,8.671,9.705,-1.034
1981-05-13,1981,5,13,8.912,9.928,-1.016
1981-05-15,1981,5,15,9.225,10.147,-0.922
1981-05-17,1981,5,17,9.396,10.366,-0.97
1981-05-19,1981,5,19,9.707,10.583,-0.876
1981-05-21,1981,5,21,9.932,10.809,-0.877
1981-05-23,1981,5,23,10.293,11.019,-0.726
1981-05-25,1981,5,25,10.481,11.219,-0.738
1981-05-27,1981,5,27,10.701,11.422,-0.721
1981-05-29,1981,5,29,10.987,11.629,-0.642
1981-05-31,1981,5,31,11.333,11.859,-0.526
1981-06-02,1981,6,2,11.609,12.077,-0.468
1981-06-04,1981,6,4,11.792,12.271,-0.479
1981-06-06,1981,6,6,11.822,12.49,-0.668
1981-06-08,1981,6,8,11.885,12.69,-0.805
1981-06-10,1981,6,10,12.236,12.894,-0.658
1981-06-12,1981,6,12,12.599,13.074,-0.475
1981-06-14,1981,6,14,12.768,13.279,-0.511
1981-06-16,1981,6,16,13.142,13.487,-0.345
1981-06-18,1981,6,18,13.593,13.692,-0.099
1981-06-20,1981,6,20,13.67,13.898,-0.228
1981-06-22,1981,6,22,13.754,14.085,-0.331
1981-06-24,1981,6,24,14.008,14.279,-0.271
1981-06-26,1981,6,26,14.317,14.448,-0.131
1981-06-28,1981,6,28,14.599,14.622,-0.023
1981-06-30,1981,6,30,14.834,14.812,0.022
1981-07-02,1981,7,2,15.061,14.966,0.095
1981-07-04,1981,7,4,15.235,15.112,0.123
1981-07-06,1981,7,6,15.362,15.265,0.097
1981-07-08,1981,7,8,15.356,15.395,-0.039
1981-07-10,1981,7,10,15.559,15.547,0.012
1981-07-12,1981,7,12,15.757,15.753,0.004
1981-07-14,1981,7,14,15.918,15.909,0.009
1981-07-16,1981,7,16,16.021,16.038,-0.017
1981-07-18,1981,7,18,16.09,16.164,-0.074
1981-07-20,1981,7,20,16.267,16.345,-0.078
1981-07-22,1981,7,22,16.532,16.517,0.015
1981-07-24,1981,7,24,16.803,16.643,0.16
1981-07-26,1981,7,26,16.81,16.746,0.064
1981-07-28,1981,7,28,16.812,16.857,-0.045
1981-07-30,1981,7,30,16.998,16.981,0.017
1981-08-01,1981,8,1,16.968,17.083,-0.115
1981-08-03,1981,8,3,17.137,17.19,-0.053
1981-08-05,1981,8,5,17.27,17.287,-0.017
1981-08-07,1981,8,7,17.29,17.421,-0.131
1981-08-09,1981,8,9,17.475,17.514,-0.039
1981-08-11,1981,8,11,17.687,17.593,0.094
1981-08-13,1981,8,13,17.712,17.683,0.029
1981-08-15,1981,8,15,17.841,17.782,0.059
1981-08-17,1981,8,17,18.051,17.845,0.206
1981-08-19,1981,8,19,17.993,17.888,0.105
1981-08-21,1981,8,21,17.948,17.964,-0.016
1981-08-23,1981,8,23,17.9,18.018,-0.118
1981-08-25,1981,8,25,17.983,18.105,-0.122
1981-08-27,1981,8,27,18.125,18.159,-0.034
1981-08-29,1981,8,29,18.203,18.222,-0.019
1981-08-31,1981,8,31,18.201,18.264,-0.063
1981-09-02,1981,9,2,18.2,18.308,-0.108
1981-09-04,1981,9,4,18.301,18.352,-0.051
1981-09-06,1981,9,6,18.33,18.397,-0.067
